"","city","area","time","weekday","芠代丁(LST)ObsTime","代溃(hPa)StnPres","キ溃(hPa)SeaPres","放()Temperature","臩翴放()Td dew point","癸访(%)RH","硉(m/s)WS","(程)(360degree)WD","程皚(m/s)WSGust","程皚(360degree)WDGust","秖(mm)Precp","计(hr)PrecpHour","ら酚计(hr)SunShine","ぱら甮秖(MJ/)GloblRad","ǎ(km)Visb"
"1","蔼动カ","467440_蔼动",2016-08-19 00:00:00,"Friday",1,1004.6,1004.9,29.3,26.9,87,0.7,190,2.5,180,0,0,NA,0,NA
"2","蔼动カ","467440_蔼动",2016-08-19 01:00:00,"Friday",2,1003.7,1004.1,28.2,25.9,87,1.9,60,3,70,NA,0.2,NA,0,NA
"3","蔼动カ","467440_蔼动",2016-08-19 02:00:00,"Friday",3,1004,1004.4,26.7,24.4,87,2,80,6.1,60,1.5,0.9,NA,0,NA
"4","蔼动カ","467440_蔼动",2016-08-19 03:00:00,"Friday",4,1003.7,1004.1,26.2,23.8,87,2.6,40,5.6,60,2,1,NA,0,NA
"5","蔼动カ","467440_蔼动",2016-08-19 04:00:00,"Friday",5,1003.6,1004,25.9,23.8,88,1.7,90,3.9,60,NA,0.5,NA,0,10
"6","蔼动カ","467440_蔼动",2016-08-19 05:00:00,"Friday",6,1004,1004.4,26.1,24.1,89,0.9,60,4.2,50,0,0,0,0,NA
"7","蔼动カ","467440_蔼动",2016-08-19 06:00:00,"Friday",7,1004.6,1005,27.4,24.7,85,1.4,50,3,60,0,0,0.6,0.38,NA
"8","蔼动カ","467440_蔼动",2016-08-19 07:00:00,"Friday",8,1004.9,1005.2,29.5,26.1,82,1.5,60,2.8,120,0,0,0.7,1.01,10
"9","蔼动カ","467440_蔼动",2016-08-19 08:00:00,"Friday",9,1005.2,1005.5,31.1,27,79,1.1,90,2.9,90,0,0,1,1.91,10
"10","蔼动カ","467440_蔼动",2016-08-19 09:00:00,"Friday",10,1005.3,1005.6,31.5,27.1,78,2.4,190,4,200,0,0,1,2.8,NA
"11","蔼动カ","467440_蔼动",2016-08-19 10:00:00,"Friday",11,1005.4,1005.7,31.9,27.6,78,2.6,210,4.9,190,0,0,1,3,10
"12","蔼动カ","467440_蔼动",2016-08-19 11:00:00,"Friday",12,1004.9,1005.2,31.3,27.4,80,2.3,210,5.2,170,0,0,0.9,2.68,NA
"13","蔼动カ","467440_蔼动",2016-08-19 12:00:00,"Friday",13,1004.4,1004.7,31.7,28,81,2.7,200,5.5,210,0,0,1,3,NA
"14","蔼动カ","467440_蔼动",2016-08-19 13:00:00,"Friday",14,1004.2,1004.5,31.8,27.8,79,3.2,200,6.5,180,0,0,1,2.9,10
"15","蔼动カ","467440_蔼动",2016-08-19 14:00:00,"Friday",15,1003.7,1004,31.6,27.9,81,3.6,200,6.6,190,0,0,0.8,2.63,NA
"16","蔼动カ","467440_蔼动",2016-08-19 15:00:00,"Friday",16,1004.2,1004.5,30.1,26.1,79,1.8,270,6.3,220,0.5,0.3,0.4,1.36,NA
"17","蔼动カ","467440_蔼动",2016-08-19 16:00:00,"Friday",17,1004.8,1005.1,29,25.8,83,0.8,330,4,250,NA,0.3,0.3,0.72,6
"18","蔼动カ","467440_蔼动",2016-08-19 17:00:00,"Friday",18,1006.3,1006.7,25.4,23.1,87,1.7,10,9,30,29,1,0,0,NA
"19","蔼动カ","467440_蔼动",2016-08-19 18:00:00,"Friday",19,1006.2,1006.6,26,23.6,87,0.5,NA,4.6,140,17,1,0,0,NA
"20","蔼动カ","467440_蔼动",2016-08-19 19:00:00,"Friday",20,1005.8,1006.2,26.5,23.8,85,0.9,70,2.9,180,0.5,0.8,NA,0,10
"21","蔼动カ","467440_蔼动",2016-08-19 20:00:00,"Friday",21,1006.4,1006.8,26.3,24.1,88,1.1,60,3.3,40,0,0,NA,0,6
"22","蔼动カ","467440_蔼动",2016-08-19 21:00:00,"Friday",22,1006.3,1006.7,26.1,24,88,0.7,100,4.6,50,0,0,NA,0,NA
"23","蔼动カ","467440_蔼动",2016-08-19 22:00:00,"Friday",23,1006.4,1006.8,26.3,24,87,1.9,60,3.3,50,0,0,NA,0,NA
"24","蔼动カ","467440_蔼动",2016-08-19 23:00:00,"Friday",24,1006.1,1006.5,26.2,23.9,87,1.1,60,3.3,50,0,0,NA,0,NA
"25","蔼动カ","467440_蔼动",2016-08-20 00:00:00,"Saturday",1,1005.6,1006,26.2,23.7,86,1.7,60,3.3,50,0,0,NA,0,NA
"26","蔼动カ","467440_蔼动",2016-08-20 01:00:00,"Saturday",2,1005.3,1005.7,25.9,23.5,87,1.6,80,2.7,60,0,0,NA,0,NA
"27","蔼动カ","467440_蔼动",2016-08-20 02:00:00,"Saturday",3,1004.9,1005.3,26,23.5,86,2,50,3,50,0,0,NA,0,NA
"28","蔼动カ","467440_蔼动",2016-08-20 03:00:00,"Saturday",4,1004.7,1005.1,25.7,23.2,86,0.7,60,3.6,70,0,0,NA,0,NA
"29","蔼动カ","467440_蔼动",2016-08-20 04:00:00,"Saturday",5,1005,1005.4,25.5,22.7,85,1.5,50,4.1,60,0,0,NA,0,13
"30","蔼动カ","467440_蔼动",2016-08-20 05:00:00,"Saturday",6,1005.1,1005.5,25.6,22.5,83,1.9,60,3,50,0,0,0,0,NA
